"filename", "language", "JSON", "HTML", "JavaScript", "Markdown", "SVG", "CSS", "Vue", "YAML", "comment", "blank", "total"
"e:\Develop\Project\xm-editor\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"e:\Develop\Project\xm-editor\examples\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 65, 0, 1, 7, 73
"e:\Develop\Project\xm-editor\examples\main.js", "JavaScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Develop\Project\xm-editor\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 14
"e:\Develop\Project\xm-editor\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"e:\Develop\Project\xm-editor\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 2440, 0, 684, 3124
"e:\Develop\Project\xm-editor\public\vite.svg", "SVG", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Develop\Project\xm-editor\src\assets\svg\blockquote.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\Develop\Project\xm-editor\src\assets\svg\bold.svg", "SVG", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 11
"e:\Develop\Project\xm-editor\src\assets\svg\bulletList.svg", "SVG", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"e:\Develop\Project\xm-editor\src\assets\svg\codeBlock.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\Develop\Project\xm-editor\src\assets\svg\heading.svg", "SVG", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"e:\Develop\Project\xm-editor\src\assets\svg\horizontalrule.svg", "SVG", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"e:\Develop\Project\xm-editor\src\assets\svg\image.svg", "SVG", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"e:\Develop\Project\xm-editor\src\assets\svg\italic.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"e:\Develop\Project\xm-editor\src\assets\svg\orderedList.svg", "SVG", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"e:\Develop\Project\xm-editor\src\assets\svg\strike.svg", "SVG", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
